Time,PtfmTDX_Floater,PtfmTDY_Floater,PtfmTDZ_Floater,PtfmRDX_Floater,PtfmRDY_Floater,PtfmRDZ_Floater,Vx_Floater_local,Vy_Floater_local,Vz_Floater_local,Wx_Floater,Wy_Floater,Wz_Floater
0.0,26.047998647977945,-44.71169085618951,15.40209434674913,0.09049525111913681,-1.4526196718215942,0.08831934630870819,-0.022034170554703195,-0.041949865088867624,0.08789345085969699,-0.009435252286493778,0.04693400859832764,-0.02637273818254471
0.25,26.041874098079454,-44.72359118431956,15.426441430849751,0.08720063418149948,-1.4420164823532104,0.08151094615459442,-0.026973039073337157,-0.05329303634790902,0.10689586379804941,-0.01830043084919453,0.03781696408987045,-0.02824193798005581
0.5,26.034788411003817,-44.737693166906595,15.455241774963255,0.08184731006622314,-1.4338006973266602,0.07478633522987366,-0.02972986650144497,-0.05956185267378156,0.12352197015217929,-0.02588290348649025,0.02783740684390068,-0.02566773071885109
0.75,26.02737927006727,-44.75276834659957,15.487865858203037,0.07476279139518738,-1.4281367063522339,0.06921875476837158,-0.029565741800636303,-0.06107388995235212,0.13748965363021332,-0.031916141510009766,0.017416832968592644,-0.01894913613796234
1.0,26.020419166629498,-44.76772255669324,15.52361346664034,0.0663343146443367,-1.4250766038894653,0.06573434919118881,-0.026139526640311692,-0.05858671990653679,0.14851329424698972,-0.03621882572770119,0.007029212545603514,-0.008967800065875053
1.25,26.014708048329787,-44.781685819579586,15.561722954441448,0.05698382109403611,-1.424559473991394,0.0649852305650711,-0.0195731361785561,-0.05313782865328843,0.15638773019369287,-0.038747865706682205,-0.0029046302661299706,0.002962312661111355
1.5,26.010959838419822,-44.79405945055933,15.60139884638182,0.047132156789302826,-1.426434874534607,0.06726614385843277,-0.010432099213232408,-0.045861524058800875,0.16104465875745796,-0.03962342068552971,-0.012090412899851799,0.015293935313820839
1.75,26.00970530191002,-44.8045201675451,15.641845020838621,0.03716225549578667,-1.4304951429367065,0.07248245179653168,0.0003819053741744209,-0.037827605964566156,0.162550328441019,-0.03910382464528084,-0.020374689251184464,0.02645890973508358
2.0,26.011228172611684,-44.81299060234822,15.68229257716608,0.027393139898777008,-1.4365086555480957,0.08016913384199142,0.011795057840337577,-0.029934160008504015,0.16105278283343136,-0.03751483932137489,-0.027711326256394386,0.03506242111325264
2.25,26.015545702933704,-44.81959233793387,15.722007772319373,0.018074531108140945,-1.4442359209060671,0.08955288678407669,0.022746314932794002,-0.0228745357323712,0.15668982338509624,-0.03514751046895981,-0.03409072011709213,0.040034279227256775
2.5,26.02243147043973,-44.82459783997517,15.760279397105725,0.009404856711626053,-1.453431248664856,0.09964543581008911,0.032346835257734685,-0.017161773937195705,0.14950333605276706,-0.03216709569096565,-0.039466775953769684,0.04072665423154831
2.75,26.031470433444163,-44.82839068053571,15.796391700800733,0.0015643256483599544,-1.4638291597366333,0.109354667365551,0.03997605785442137,-0.013171257766727867,0.13941554405263482,-0.028578922152519226,-0.043723560869693756,0.03695804253220558
3.0,26.042129093125503,-44.831433627437136,15.829602257229983,-0.0052537983283400536,-1.4751291275024414,0.11760052293539047,0.045306586811119896,-0.011160883786944017,0.12629029461980396,-0.024275297299027443,-0.04669307917356491,0.0290087703615427
3.25,26.053823704306946,-44.83423545545277,15.859145365508821,-0.010833352804183962,-1.4869909286499023,0.12342486530542374,0.048271228515713215,-0.011252167849204787,0.11005575282599502,-0.019144047051668167,-0.04821198433637619,0.01757500134408474
3.5,26.065979127752982,-44.8373134549328,15.884259850803643,-0.014947976917028429,-1.4990415573120117,0.1260852813720703,0.048979857629375505,-0.013348517627216684,0.09090126736489952,-0.013239376246929169,-0.04822060465812683,0.003690346144139767
3.75,26.078052097768904,-44.84112480717499,15.9042864047025,-0.017428888007998466,-1.5109293460845947,0.1251201629638672,0.047676542537116694,-0.017119348300553217,0.06929999624091186,-0.006808229256421328,-0.04678234457969666,-0.011379583738744259
4.0,26.089613724031334,-44.84602824346134,15.918664067117787,-0.018165703862905502,-1.5222620964050293,0.1204245686531067,0.04476716753169786,-0.02211131238206576,0.0457658683564994,-9.522478649159895e-05,-0.04398438706994057,-0.026262763887643814
4.25,26.100293301689337,-44.85224245178333,15.92702187964633,-0.017149893566966057,-1.5327707529067993,0.11219361424446106,0.0406782928271155,-0.027600629951294493,0.021103428623667757,0.006464606150984764,-0.04007009044289589,-0.03960416838526726
4.5,26.109849020512037,-44.859762804209254,15.92921796252456,-0.014514147303998472,-1.54221510887146,0.10097132623195648,0.03577164256352779,-0.032565443825953715,-0.003529992899141857,0.012210879474878311,-0.03546729311347008,-0.05018717423081398
4.75,26.11812976602015,-44.86834177056533,15.92536545776145,-0.01052480936050415,-1.5504602193832397,0.08756711333990097,0.03047647548075749,-0.03607677948900542,-0.02729147710746488,0.01681050844490528,-0.030474849045276645,-0.05705207958817482
5.0,26.1250840436423,-44.87751159096037,15.915764138589244,-0.005508128087967634,-1.5574384927749634,0.07298802584409714,0.025157029645523826,-0.03729977991609882,-0.04952566541294801,0.020162709057331085,-0.025340264663100243,-0.05957882478833199
5.25,26.130728755524757,-44.88661012982067,15.900872116082972,0.0001942484814208001,-1.563146710395813,0.05834631994366646,0.019998957887994728,-0.035511869237531773,-0.06962125701370199,0.022269733250141144,-0.02032426930963993,-0.057547032833099365
