Time,wave
0.0,-0.5594943761825562
0.25,-0.6925557851791382
0.5,-0.7771012187004089
0.75,-0.7944537401199341
1.0,-0.7606093883514404
1.25,-0.7162162065505981
1.5,-0.6975263953208923
1.75,-0.709189236164093
2.0,-0.7195305824279785
2.25,-0.6829714775085449
2.5,-0.5742291212081909
2.75,-0.41010528802871704
3.0,-0.243490070104599
3.25,-0.13352727890014648
3.5,-0.11178245395421982
3.75,-0.16533173620700836
4.0,-0.24533993005752563
4.25,-0.2932657301425934
4.5,-0.26818329095840454
4.75,-0.16119714081287384
5.0,0.007197946310043335
5.25,0.20197202265262604
5.5,0.3915804624557495
5.75,0.5611040592193604
6.0,0.715057373046875
6.25,0.8684998750686646
6.5,1.0297350883483887
6.75,1.1839226484298706
7.0,1.2892959117889404
7.25,1.2931499481201172
7.5,1.162360429763794
7.75,0.9105135202407837
8.0,0.6012235879898071
8.25,0.31982845067977905
8.5,0.12770140171051025
8.75,0.028280481696128845
9.0,-0.03030339628458023
9.25,-0.11543920636177063
9.5,-0.25937649607658386
9.75,-0.43386268615722656
10.0,-0.5691620707511902
10.25,-0.6044467687606812
10.5,-0.5325272083282471
10.75,-0.4057135283946991
11.0,-0.2984881103038788
11.25,-0.25569599866867065
11.5,-0.2659870684146881
11.75,-0.28054869174957275
12.0,-0.26157790422439575
12.25,-0.22119739651679993
12.5,-0.2185179591178894
12.75,-0.31504231691360474
13.0,-0.5216333270072937
13.25,-0.7778550982475281
13.5,-0.9808067083358765
13.75,-1.043999195098877
14.0,-0.9450271129608154
14.25,-0.7304049134254456
14.5,-0.47815990447998047
14.75,-0.24850749969482422
15.0,-0.05821758508682251
15.25,0.10772210359573364
15.5,0.2631174325942993
15.75,0.39687544107437134
16.0,0.4778177738189697
16.25,0.4818875193595886
16.5,0.4169262945652008
16.75,0.3236217498779297
17.0,0.2519281506538391
17.25,0.2324329912662506
17.5,0.26496386528015137
17.75,0.330846905708313
18.0,0.4149394631385803
18.25,0.5166355967521667
18.5,0.6405728459358215
18.75,0.7774789929389954
19.0,0.8955406546592712
19.25,0.9537606835365295
19.5,0.9286123514175415
19.75,0.8313916921615601
20.0,0.6994518041610718
20.25,0.5658189654350281
20.5,0.431710422039032
20.75,0.2665059566497803
21.0,0.038945674896240234
21.25,-0.2435629516839981
21.5,-0.5204384326934814
21.75,-0.7049261927604675
22.0,-0.7373164892196655
22.25,-0.6266865134239197
22.5,-0.4486624002456665
22.75,-0.29783353209495544
23.0,-0.22751733660697937
23.25,-0.22030872106552124
23.5,-0.21133339405059814
23.75,-0.14715883135795593
24.0,-0.036321982741355896
24.25,0.0472797155380249
24.5,0.012662142515182495
24.75,-0.18184800446033478
25.0,-0.49124354124069214
25.25,-0.8025179505348206
25.5,-0.9969557523727417
25.75,-1.0145946741104126
26.0,-0.8800511360168457
26.25,-0.6776032447814941
26.5,-0.4976918697357178
26.75,-0.3918873071670532
27.0,-0.3614732623100281
27.25,-0.3769994080066681
27.5,-0.4059658646583557
27.75,-0.4261001944541931
28.0,-0.4197602868080139
28.25,-0.36313337087631226
28.5,-0.22748064994812012
28.75,0.0035557784140110016
29.0,0.3134586215019226
29.25,0.648231029510498
29.5,0.9358181357383728
29.75,1.1197267770767212
30.0,1.1852197647094727
30.25,1.161505103111267
30.5,1.0998069047927856
30.75,1.0430270433425903
31.0,1.0062729120254517
31.25,0.9773193597793579
31.5,0.9318519830703735
