Time,telescoping,luffing,slewing,telescoping_vel,luffing_vel,slewing_vel
0.0,0.0,2.6406357328305856,0.34062637361626064,-0.08066778456235571,1.0550689056068556,0.21366321715467484
0.25,-0.025148497351572985,2.9044029592322995,0.39404217790492935,-0.12064284721226844,1.0147456533067292,0.20279287071143304
0.5,-0.05988507619381167,3.14800855948395,0.44202280897197715,-0.15741158806528982,0.9328005207690637,0.18423976219029237
0.75,-0.1033754218094245,3.3708032196168314,0.48616205900007553,-0.19071416926686943,0.8499121294298195,0.17548495259330765
1.0,-0.1547325741485004,3.57296462419886,0.529765285268631,-0.2203363839764735,0.7685135624118171,0.18203437512885257
1.25,-0.21300277388159827,3.75506000082274,0.5771792465645018,-0.2460235333303393,0.6893285758497347,0.20640572090620313
1.5,-0.27715940403637873,3.9176289121237273,0.6329681457217325,-0.26740144148376266,0.6114669441216369,0.2478142276666373
1.75,-0.34605450552509964,4.060793472883558,0.7010863603978205,-0.28393146467215535,0.5325979477536773,0.3025494619149107
2.0,-0.4183940646860371,4.183927886000566,0.7842428766791879,-0.2949243815091804,0.44916760850573745,0.36469519887171087
2.25,-0.49269554817851713,4.285377277136427,0.8834339598336759,-0.29962808581603173,0.356696559035683,0.427025549347696
2.5,-0.5673078714343198,4.3622761655184075,0.9977556513530359,-0.2973655421270147,0.2502289059650238,0.48209306931695184
2.75,-0.640423468269109,4.410491730118939,1.1244804944921518,-0.28767388037808844,0.12500191817796136,0.5230601258899705
3.0,-0.7101725945615875,4.424777124607388,1.2592857142980212,-0.2703933310264494,-0.022655502672352057,0.5444401193935247
3.25,-0.7746750210979059,4.399163978782763,1.3967005541889141,-0.2456830717548793,-0.19440776674401938,0.5424955271253058
3.5,-0.8321275459336661,4.3275732412353785,1.530533477860674,-0.21393675910503862,-0.38902805269299634,0.5153160745038594
3.75,-0.8808107817502915,4.204649952436265,1.6543585914408439,-0.175745837938462,-0.601635477215023,0.46279321527978157
4.0,-0.9193092918634918,4.026755502627867,1.7619300855005648,-0.13197968116600556,-0.8252280562190384,0.3868751378661779
4.25,-0.946264867758444,3.7920359243267456,1.8477961603739328,-0.08354807704473666,-1.0499947429804788,0.29092662136619163
4.5,-0.9606361407924098,3.5017581311376276,1.9073933961836607,-0.03129320255797047,-1.2635226949048448,0.17912984978090485
4.75,-0.9616121267366964,3.1602745768743232,1.9373610852643852,0.023674587529579745,-1.453636749127619,0.05661867774691043
5.0,-0.9486663027929474,2.774939756573818,1.9357027350571159,0.08006896932323412,-1.6087579120662143,-0.0711305221630929
5.25,-0.9216131925120123,2.355895620841216,1.9017958241828388,0.13649643230845876,-1.7187532015235258,-0.19875514363377267
5.5,-0.8806689329009352,1.9155631558120552,1.8363251632402295,0.19121208818155946,-1.7759727076872793,-0.32124285927794194
5.75,-0.8264953031081461,1.4679092669975764,1.7411743945438678,0.24224587461856298,-1.7755310177162507,-0.43402625794392247
6.0,-0.7602735762872364,1.0277976469539298,1.6193120342682683,0.2875575243683501,-1.7150770413888088,-0.533162566281864
6.25,-0.6836882391679815,0.610370746303172,1.4745931114029358,0.3251087328528182,-1.5947202564253822,-0.6153372351948989
6.5,-0.5989172701310466,0.23043751874123877,1.3116434166708189,0.3530071666422527,-1.4169239607953479,-0.6776767042911422
6.75,-0.5085780127912614,-0.09809123409450198,1.1357547592573647,0.369651788164011,-1.1863731107711288,-0.7178113786311151
7.0,-0.4156250552754983,-0.3627490366443257,0.9527377273552613,0.3738867591242323,-0.9099184328437392,-0.7338384624304064
7.25,-0.3232459842983886,-0.5530504505163716,0.7688355280421615,0.36509244964175913,-0.5965498756717187,-0.7244028922320458
7.5,-0.23469942060300042,-0.661023974480185,0.5905362812392384,0.34327545138003557,-0.2572765623781226,-0.6889073722055662
7.75,-0.1531534917656323,-0.6816887317054329,0.4243818419393784,0.30916921035463296,0.09518436972691147,-0.6277231384304913
8.0,-0.08148817870967306,-0.6134317896167293,0.27667471202399274,0.26423035140856466,0.44711682421442245,-0.5423872985630898
8.25,-0.022168890956528742,-0.45813031959822165,0.15318819265783354,0.21061212170291188,0.7832036545035335,-0.43626617839162235
8.5,0.023045085778900187,-0.22182996236496252,0.058541622828181566,0.15113461759941857,1.0884920445582067,-0.3142551784022413
8.75,0.053096769871363136,0.08611570268088173,-0.0039393965432871145,0.08913148624318004,1.3500003390715496,-0.1820325085583152
9.0,0.06776652208630551,0.45317020717081224,-0.032474631450976045,0.02820335011652894,1.5540971720529477,-0.04751673997781026
9.25,0.06781783475480907,0.8631642887073556,-0.027697766532192244,-0.02804265959415078,1.68955583135622,0.08072534217903592
9.5,0.054807536053647965,1.2979481228489222,0.007888039638541912,-0.07637528213953859,1.7490788220074789,0.19470360151137847
9.75,0.03102206328409096,1.737703699711095,0.06965403422349699,-0.11434875332702892,1.728347335568618,0.28668980301288205
10.0,-0.0007864628154798936,2.1621217906332313,0.15123294114498292,-0.14062464556222923,1.6279694171691421,0.3507595052871385
10.25,-0.03768490107980327,2.551688408295666,0.24503378686706626,-0.15510126192486284,1.4539908369988321,0.3833272078915265
10.5,-0.07687465784671588,2.8891172091326474,0.3428965450907462,-0.15891075262115711,1.2181517438130616,0.3838181923849197
10.75,-0.11596630561619037,3.160764280202197,0.4369428830595261,-0.1542454349675661,0.9374639100420072,0.3548952370411609
11.0,-0.15320881782939466,3.357849164153651,0.5203441636113266,-0.14403004673026581,0.6330355763904061,0.3022807667851781
11.25,-0.18762021161887077,3.4772820683974,0.5880832664521152,-0.13153839074757953,0.3281637277973859,0.23427047646014643
11.5,-0.21903871749291426,3.521931028052344,0.6374794018413998,-0.11999711608348135,0.0459417296466782,0.16082784074534362
