Time,wave
0.0,0.013768784701824188
0.25,0.023894336074590683
0.5,0.03845079243183136
0.75,0.06689483672380447
1.0,0.10304215550422668
1.25,0.13572415709495544
1.5,0.1609252393245697
1.75,0.18333882093429565
2.0,0.2068411409854889
2.25,0.22514426708221436
2.5,0.2239002287387848
2.75,0.1941220760345459
3.0,0.1446002721786499
3.25,0.10047697275876999
3.5,0.0871673971414566
3.75,0.11273831129074097
4.0,0.16433528065681458
4.25,0.2221539169549942
4.5,0.27826476097106934
4.75,0.3422936797142029
5.0,0.42714983224868774
5.25,0.5266146063804626
5.5,0.6058735847473145
5.75,0.61686110496521
6.0,0.5294378995895386
6.25,0.3545917570590973
6.5,0.14049947261810303
6.75,-0.056852757930755615
7.0,-0.20623788237571716
7.25,-0.31251099705696106
7.5,-0.3994292616844177
7.75,-0.4800802171230316
8.0,-0.5401906967163086
8.25,-0.5480976104736328
8.5,-0.4824400544166565
8.75,-0.35429897904396057
9.0,-0.20585213601589203
9.25,-0.08720389008522034
9.5,-0.030161157250404358
9.75,-0.03785870969295502
10.0,-0.09413531422615051
10.25,-0.18001937866210938
10.5,-0.2813984751701355
10.75,-0.38352563977241516
11.0,-0.46271249651908875
11.25,-0.4891640543937683
11.5,-0.4437904953956604
11.75,-0.33637964725494385
12.0,-0.20759953558444977
12.25,-0.10849569737911224
12.5,-0.0698733776807785
12.75,-0.08360962569713593
13.0,-0.1101665049791336
13.25,-0.1066974550485611
13.5,-0.054750554263591766
13.75,0.032089874148368835
14.0,0.12381912767887115
14.25,0.19837580621242523
14.5,0.2555241882801056
14.75,0.31176188588142395
15.0,0.3835395574569702
15.25,0.47359564900398254
15.5,0.5693345665931702
15.75,0.6507078409194946
16.0,0.6985134482383728
16.25,0.6981528997421265
16.5,0.6417534351348877
16.75,0.534012496471405
17.0,0.40036749839782715
17.25,0.2875007688999176
17.5,0.24688008427619934
17.75,0.3048520088195801
18.0,0.438327431678772
18.25,0.5777260065078735
18.5,0.6423700451850891
18.75,0.5882135629653931
19.0,0.4342300295829773
19.25,0.2458983212709427
19.5,0.08565833419561386
19.75,-0.03316420316696167
20.0,-0.15241098403930664
20.25,-0.32871049642562866
20.5,-0.5770179033279419
20.75,-0.8438726663589478
21.0,-1.0348320007324219
21.25,-1.0790400505065918
21.5,-0.9829815030097961
21.75,-0.8316041231155396
22.0,-0.7336745858192444
22.25,-0.7504948377609253
22.5,-0.8600096702575684
22.75,-0.9811413884162903
23.0,-1.0375828742980957
23.25,-1.0109964609146118
23.5,-0.9436746835708618
23.75,-0.8911482095718384
24.0,-0.8646355271339417
24.25,-0.8103554248809814
24.5,-0.6436586380004883
24.75,-0.31293240189552307
25.0,0.15419164299964905
25.25,0.6567854285240173
25.5,1.0740771293640137
25.75,1.3290014266967773
26.0,1.4193978309631348
26.25,1.400773525238037
26.5,1.3388302326202393
26.75,1.2678909301757812
